-1.593675813378541051e+01,2.134310506729668599e+00
-2.915297921723813346e+01,1.173256678756455340e+00
3.618954862666252836e+01,3.435910918053895102e+01
3.749218733199513309e+01,3.683795516371235124e+01
-4.805882945257006611e+01,2.808965074479856217e+00
-8.941457938049754972e+00,2.121072476666391982e+00
1.530779288922607861e+01,1.471026830656230722e+01
-3.470626581132248845e+01,2.614184386432258922e+00
1.389154368635890258e+00,3.740171665694939307e+00
-4.438375985168691784e+01,3.731691310543066908e+00
7.013502082404111881e+00,7.627658852038035064e+00
2.276274891971130288e+01,2.275242830224221180e+01
